tweet_id,tweet_text,created_at,user_id,user_name,conversation_id,lang,is_reply,in_reply_to_username,in_reply_to_tweet_id,tweet_url,retweet_count,quote_count,reply_count,like_count,tweet_clean_text,intent
1.4518219151951954e+18,"I recently had a taste of the new @BMW M4 Competition, and man alive is this an absolute beast!! 510hp sent to the back, from the 3 liter twin turbo i6 sitting in the front, and an extremely happy human at the helm! 🔥🔥🏁 https://t.co/Ij7zM3BDQH",Sat Oct 23 08:04:52 +0000 2021,1.1981875525676278e+18,ThabisoMogotsi5,1.4518219151951954e+18,en,False,,,https://x.com/ThabisoMogotsi5/status/1451821915195195398,0,0,1,0,recently taste new m competition man alive absolute beast hp sent liter twin turbo i sitting extremely happy human helm,
8.953313997413171e+17,Please use some cartographers or #geodataviz experts to improve your maps @BMW. No idea what's a road or RTTI at first glance. So confusing! https://t.co/EVT5Rcjlvm,Wed Aug 09 17:10:14 +0000 2017,428471520.0,GemMcAusland,8.953313997413171e+17,en,False,,,https://x.com/GemMcAusland/status/895331399741317121,0,0,1,2,use cartographers geodataviz experts improve maps idea s road rtti glance confusing,
1.1196039752742912e+18,"@BMW I have very bad experience with BMW UK, unable to update the maps in spite of several requests, phone calls, visits to dealer, complaints, nothing is working out and I am really frustrated and do not know what to do to get simple thing like that sorted.",Sat Apr 20 14:09:23 +0000 2019,2908189767.0,mohamedmosa78,1.1196039752742912e+18,en,False,BMW,,https://x.com/mohamedmosa78/status/1119603975274291200,0,0,1,0,bad experience bmw uk unable update maps spite requests phone calls visits dealer complaints working frustrated know simple thing like sorted,
1.0463198656051772e+18,@bmwindia @BMW can we replace PDC control module unit (6620 9225823 -Bosch) with 6620 9225825 bosch ? Seeking reply asap...,Sun Sep 30 08:44:30 +0000 2018,194076423.0,PsinghPS,1.0463198656051772e+18,en,False,bmwindia,,https://x.com/PsinghPS/status/1046319865605177346,0,0,1,0,replace pdc control module unit bosch bosch seeking reply asap,
8.91746534546604e+17,@BMW as much as I like BMW it's a shame your company is a joke. You employ staff who steal and you just sack them. Can't get my money back,Sun Jul 30 19:45:16 +0000 2017,1112346260.0,Maher_Cee,8.91746534546604e+17,en,False,BMW,,https://x.com/Maher_Cee/status/891746534546604033,0,0,1,0,like bmw shame company joke employ staff steal sack nt money,
9.31879332116607e+17,"@BMW I can’t believe the quality of service you have in the Middle East, I sent an email on 31st Oct with a follow up on 6th Nov, no bothered to reply.. I wasn’t expecting this from #BMW",Sat Nov 18 13:38:40 +0000 2017,430032504.0,fmeweidat,9.31879332116607e+17,en,False,BMW,,https://x.com/fmeweidat/status/931879332116606976,0,0,1,0,believe quality service middle east sent email st oct follow th nov bothered reply expecting bmw,
8.902742961778074e+17,Everything you need to know about the @BMW 8-series https://t.co/vPAkUnuNKX https://t.co/6lwwKcDOW8,Wed Jul 26 18:15:07 +0000 2017,14342661.0,CARandDRIVER,8.902742961778074e+17,en,False,,,https://x.com/CARandDRIVER/status/890274296177807365,18,1,2,72,need know series,
9.6454815541624e+17,Going to @BMW to get your car repaired thinking you get quality and getting this....right is how it should be left is the bodge job! 🤦🏼‍♀️ https://t.co/zFzD1xqvmh,Fri Feb 16 17:12:55 +0000 2018,393261619.0,JoddlerT,9.6454815541624e+17,en,False,,,https://x.com/JoddlerT/status/964548155416240128,0,0,2,1,going car repaired thinking quality getting thisright left bodge job,
1.0393911212003738e+18,Today is a 1 year anniversary for my car. Thank you @BMW @BMWGroup my first ever brand new car. https://t.co/FeuyOOX0WZ,Tue Sep 11 05:52:08 +0000 2018,234734455.0,ijustlovecars,1.0393911212003738e+18,en,False,,,https://x.com/ijustlovecars/status/1039391121200373762,6,0,2,90,today year anniversary car thank brand new car,
1.49799293435614e+18,"Long wait over, picked up this #badassbitch yesterday 🔥🔥🔥 #obsessed @BMW #bmw #bmwx540i #luxury #luxurycars https://t.co/nZCLyZxFlg",Sun Feb 27 17:52:01 +0000 2022,1.452788208845181e+18,chazingamber,1.49799293435614e+18,en,False,,,https://x.com/chazingamber/status/1497992934356140033,0,0,1,0,long wait picked badassbitch yesterday obsessed bmw bmwxi luxury luxurycars,
1.7754105243997596e+18,@BMW my iX hasn’t updated in the app since 1800 BST on 1 April. In the car it’s saying there’s no server connection and the emergency call function is not available. I’ve tried to reset holding the volume button. Any ideas?,Wed Apr 03 06:30:29 +0000 2024,60113360.0,timw19771,1.7754105243997596e+18,en,False,BMW,,https://x.com/timw19771/status/1775410524399759568,0,0,1,0,ix updated app bst april car saying server connection emergency function available tried reset holding volume button ideas,
1.5275085688445092e+18,@BMW ur road assistance sucks help me I’m stranded,Fri May 20 04:36:37 +0000 2022,1.4339060127387034e+18,Veloccii,1.5275085688445092e+18,en,False,BMW,,https://x.com/Veloccii/status/1527508568844509186,0,0,1,0,ur road assistance sucks help stranded,
8.383870788995809e+17,@BMW Hi. I want to order new 435xd with HUD and Digital Cockpit but dealer is saying this is not possible !?!? Thanks,Sun Mar 05 13:53:50 +0000 2017,7.571701599750103e+17,ar2r_tw,8.383870788995809e+17,en,False,BMW,,https://x.com/ar2r_tw/status/838387078899580932,0,0,1,0,hi want order new xd hud digital cockpit dealer saying possible thanks,
1.340881191063339e+18,"@BMW wanted to see, how long is the sulev m56 fuel pump warrenty since I have an 04 325i with the sulev m56 motor with 115k and it just happened to go out &amp; i remember hearing about an extended warrenty",Mon Dec 21 04:46:02 +0000 2020,201574548.0,jayxd3e,1.340881191063339e+18,en,False,BMW,,https://x.com/jayxd3e/status/1340881191063339008,0,0,1,0,wanted long sulev m fuel pump warrenty i sulev m motor k happened amp remember hearing extended warrenty,
1.4696211330581914e+18,How did you make such a beautiful car (M5 CS) with insane power? Goodness @BMW,Sat Dec 11 10:52:37 +0000 2021,597785251.0,nanayawbonny,1.4696211330581914e+18,en,False,,,https://x.com/nanayawbonny/status/1469621133058191360,0,0,2,0,beautiful car m cs insane power goodness,
1.371814691048149e+18,Currently sat in the second #bmw main dealer being told the corrosion on my alloy won’t be warranted as the wheel has been refurbished! Bought the car new in 2018 and none of the wheels have been refurbed! After 18 years of ownership I won’t be back to buy another @BMW @BMWUK_,Tue Mar 16 13:24:44 +0000 2021,3019647519.0,Perie314,1.371814691048149e+18,en,False,,,https://x.com/Perie314/status/1371814691048148997,0,0,3,0,currently sat second bmw main dealer told corrosion alloy wo warranted wheel refurbished bought car new wheels refurbed years ownership wo buy,
1.4661224202390405e+18,@BMW @InchcapeMINIUK disgusted by your customer services. It is absolutely absurd that a member of your team in #reading can act in such a horrible manner.,Wed Dec 01 19:09:58 +0000 2021,401056367.0,ShAntaellesLifE,1.4661224202390405e+18,en,False,BMW,,https://x.com/ShAntaellesLifE/status/1466122420239040513,0,0,1,0,disgusted customer services absolutely absurd member team reading act horrible manner,
1.0934758271640412e+18,"@BMW_UK @BMW @BMWGroup @bmw Resolved case id: RES6241988 The case is escalated to Graeme Grieve, Managing Director... Super disappointing experience at BMW sycamore Peterborough..... sold me scratched car M6 worth £36500 saying it’s industry standards.... shocking 😳😳",Thu Feb 07 11:45:27 +0000 2019,9.855516429794592e+17,BaleeghKhan6,1.0934758271640412e+18,en,False,BMW_UK,,https://x.com/BaleeghKhan6/status/1093475827164041216,0,0,3,0,resolved case d res case escalated graeme grieve managing director super disappointing experience bmw sycamore peterborough sold scratched car m worth £ saying industry standards shocking,
1.1709724022784205e+18,"@BMW last night I was driving home with my family and my car blow up, what on earth happened?",Mon Sep 09 08:09:10 +0000 2019,48814568.0,funkyhousewife,1.1709724022784205e+18,en,False,BMW,,https://x.com/funkyhousewife/status/1170972402278420480,0,0,3,0,night driving home family car blow earth happened,
1.0112507558676398e+18,"Tweeting this for documentation, I’m trying to get my airbags fixed so I won’t die in a fender bender but nobody at @BMW seems to know what I’m talking about.....So....here I.go.....",Mon Jun 25 14:12:22 +0000 2018,19357218.0,chiIIgyucto,1.0112507558676398e+18,en,False,,,https://x.com/chiIIgyucto/status/1011250755867639810,0,0,2,0,tweeting documentation trying airbags fixed wo die fender bender know talking aboutsohere igo,
1.0909417191122698e+18,"Should a 7 years old BMW 5 series be having clutch issues? Surely it needs to be reported to @DVSAgovuk if I’m driving on the motorway and the clutch suddenly stop working, no warning, causing me to take drastic actions. @BMW @DVSA_HelpMe #bmw #almostdied",Thu Jan 31 11:55:49 +0000 2019,498343435.0,KrisoyD,1.0909417191122698e+18,en,False,,,https://x.com/KrisoyD/status/1090941719112269826,0,0,8,2,years old bmw series having clutch issues surely needs reported driving motorway clutch suddenly stop working warning causing drastic actions bmw almostdied,
1.0950066984886927e+18,"Safe to say I will not be buying a BMW from Fairfield @BMW again, absolutely shocking customer service and spoken to like I was a complete idiot. Almost got the impression it was because I was female 🙄 Not impressed for such a huge, sought after company! #bmw #customerservice",Mon Feb 11 17:08:35 +0000 2019,120102554.0,eloweezgeez,1.0950066984886927e+18,en,False,,,https://x.com/eloweezgeez/status/1095006698488692737,1,0,2,3,safe buying bmw fairfield absolutely shocking customer service spoken like complete idiot got impression female impressed huge sought company bmw customerservice,
